iter	Passed	Remaining
0	0	65
1	1	55
2	1	50
3	1	46
4	2	45
5	2	44
6	3	43
7	3	43
8	4	42
9	4	41
10	5	40
11	5	40
12	5	40
13	6	39
14	6	39
15	7	39
16	7	38
17	8	38
18	8	37
19	9	37
20	9	36
21	10	35
22	10	35
23	10	34
24	11	34
25	11	33
26	12	33
27	12	32
28	13	32
29	13	31
30	14	31
31	14	30
32	14	30
33	15	30
34	15	29
35	16	29
36	16	28
37	17	28
38	17	27
39	18	27
40	18	26
41	18	25
42	19	25
43	19	25
44	20	24
45	20	24
46	21	23
47	21	23
48	22	22
49	22	22
50	22	22
51	23	21
52	23	21
53	24	20
54	24	20
55	25	19
56	25	19
57	26	18
58	26	18
59	27	18
60	27	17
61	27	17
62	28	16
63	28	16
64	29	15
65	29	15
66	30	14
67	30	14
68	30	13
69	31	13
70	31	13
71	32	12
72	32	12
73	33	11
74	33	11
75	34	10
76	34	10
77	35	9
78	35	9
79	36	9
80	36	8
81	37	8
82	37	7
83	38	7
84	38	6
85	38	6
86	39	5
87	39	5
88	40	4
89	40	4
90	41	4
91	41	3
92	41	3
93	42	2
94	42	2
95	43	1
96	43	1
97	44	0
98	44	0
99	45	0
